Id;Designator;Footprint;Quantity;Designation;Supplier and ref
1;R27,R28;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;2;1.8K;
2;Q1,Q3,Q2,Q4;TO-220F-3_Vertical;4;IRLIZ44N;
3;R12,R14;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;2;220k;
4;R20;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;39k;
5;R6,R3;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;2;4k7;
6;R11,R8,R1,R7;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;4;10K;
7;D14,D2,D3,D13;LED_0805_2012Metric;4;LED;
8;R29;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;5.7k;
9;C7,C1,C6,C11,C10;CP_Elec_6.3x5.7;5;47u 35V;
10;C3,C14;C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;2;0.22uF;
11;R9;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;18K;
12;D6,D5,D8,D7;D_1206_3216Metric;4;3,3V;
13;U5,U2;MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm;2;LT1936;
14;R16,R18,R19,R17;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;4;10;
15;C8,C9;C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;2;100n;
16;L1,L4;L_7.3x7.3_H4.5;2;10u;
17;R10;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;560K;
18;U4,U3;SOIC-8_3.9x4.9mm_P1.27mm;2;LF2304NTR;
19;R26;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;2.2k;
20;R22,R21,R15,R13,R23;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;5;10k;
21;RESET1;SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS;1;RESET;
22;C4;CP_Elec_4x5.3;1;4,7u;
23;R2;R_4020_10251Metric_Pad1.65x5.30mm_HandSolder;1;0.05;
24;R30;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;1K;
25;Vbuck2;TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm;1;12V;
26;R24;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;100K;
27;R4,R5;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;2;1k;
28;D10,D9,D11,D15,D1;D_SMC-RM10_Universal_Handsoldering;5;SK36A;
29;POWER_IN1,POWER_IN2;TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm;2;POWER_IN;
30;C13,C2;D_1206_3216Metric_Pad1.42x1.75mm_HandSolder;2;4.7u 50V;
31;D16,D17,D4,D12;D_SOD-523;4;1N4148WT;
32;BOOT1;SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS;1;BOOT;
33;R25;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;100k;
34;Program_header1;PinHeader_1x04_P2.54mm_Vertical;1;Program_header;
35;Vbuck1;TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm;1;Vbuck;
36;C5,C15;D_1206_3216Metric_Pad1.42x1.75mm_HandSolder;2;47u 6.3V;
37;L2,L3;L_7.3x7.3_H4.5;2;L;
38;U1;ESP32-WROOM-32D;1;ESP32-WROOM-32D;
39;Mainboardconnect1;PinHeader_1x08_P2.54mm_Vertical;1;Conn_01x08_Pin;
